feature,weight
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0007702397099453828
No_of_Ratings_div_No_Of_Orders,0.0007689946346678133
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0007558792594966419
Rider_Id_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_q_diff,0.0007365272639193698
Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.0007045690757502292
"Arrival_at_Pickup_-_Time,_minute",0.000699703637582676
Pickup_-_Weekday_(Mo_=_1)_speed_q_diff,0.0006693214155291201
Rider_Id_geo_distance_Pickup_Lat_Pickup_Long_Destination_Lat_Destination_Long_std,0.0006633370949293067
Rider_Id_geo_distance_Pickup_Lat_Pickup_Long_Destination_Lat_Destination_Long_q_diff,0.0006294023250055577
Pickup_-_Day_of_Month_speed_std,0.0006176515801738525
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0006142740329049217
Destination_Lat_Destination_Long_hex_11,0.0006047181304085602
Temperature,0.0005895384888496733
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0005695710517536949
Age,0.0005682288600177574
"Pickup_-_Time,_minute",0.000554330025296863
Rider_Id_Pickup_-_Time_Placement_-_Time_diff_q_diff,0.0005437421574510704
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0005434387019504266
No_Of_Orders_div_Age,0.0005145192536858587
Pickup_Lat_Pickup_Long_speed_q_diff,0.0005089864055807126
Rider_Id_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_mean,0.0004951653870679919
"Confirmation_-_Time,_minute",0.0004893715464948598
Rider_Id_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_mean,0.00048534152841864806
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00048458343060743086
Confirmation_-_Time_Placement_-_Time_diff,0.0004813217654451086
Rider_Id_Distance_(KM)_std,0.0004541075629733637
"Pickup_-_Weekday_(Mo_=_1)_Pickup_-_Time,_hour_speed_q_diff",0.0004539217192382256
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.0004515810537712013
Pickup_-_Day_of_Month,0.00044959387218583585
Rider_Id_Confirmation_-_Time_Placement_-_Time_diff_median,0.0004363673218386132
Rider_Id_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_mean,0.0004157483995786061
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0004034213637578709
Rider_Id_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_q_diff,0.00038507154789671206
Pickup_-_Weekday_(Mo_=_1)_speed_mean,0.00038153380115062743
No_Of_Orders,0.00037924206936074145
Pickup_Lat_Pickup_Long_speed_count,0.000378489913390044
Pickup_-_Day_of_Month_speed_mean,0.00037757632157510207
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00036223274530085097
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.000335792058840468
Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0003314974105679496
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0003308758054308198
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.000325152146546275
Rider_Id_Pickup_-_Time_Placement_-_Time_diff_std,0.00032398434706457796
Rider_Id_Pickup_-_Time_Placement_-_Time_diff_mean,0.0003208753777218039
Destination_Lat_Destination_Long_speed_std,0.0003182832396381746
Rider_Id_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_std,0.0003170996719616098
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0003094944147809556
Rider_Id_Confirmation_-_Time_Placement_-_Time_diff_mean,0.0003093900591633689
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0003023296301240325
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff,0.0002962308092980837
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.00029013975706147164
